symbol,y,x1,x2,x3,x4,underwriter,exchange
APO,1.016,0.984,556466,0.246,0.126,2-8-19,2
APTS,1.000,1.000,45000,0.893,0.006,40,2
AR,1.016,1.231,1934508,0.137,0.145,17-18-19,2
ARCO,1.025,1.235,1543167,0.567,0.116,7-8-18-19-22,2
ARCX,1.018,1.000,114000,0.987,0.071,17-18,2
ARES,1.012,0.955,206249,0.141,0.075,8-19,2
ARMK,1.025,1.012,734062,0.158,0.073,1-2-7-19,2
ARPI,1.000,1.000,287710,0.426,0.029,3-7-8-120,2
ASC,1.015,0.964,135000,0.554,0.074,3-7-47,2
ASPN,1.011,1.000,82500,0.326,0.036,17-18-19,2
ATEN,1.164,0.917,171875,0.212,0.120,7-8-19,2
ATHM,1.040,1.774,235851,1.000,0.187,21-135,2
ATTO,1.018,0.917,137500,0.136,0.097,1-7-22-142,2
AVAL,1.013,1.000,1100000,0.004,0.058,2-19,2
AVG,1.050,0.846,108240,0.147,0.155,2-7-19,2
AVOL,1.010,0.963,262499,0.168,0.085,7-18-19,2
AXON,1.132,1.395,439530,0.219,0.021,3-10-48,1
AXTA,1.000,1.074,1047000,0.218,0.090,2-18-19-21,2
BABA,1.618,1.363,29673835,1.000,0.150,1-2-7-18-19-21-135,2
BAH,1.060,1.015,241640,0.116,0.044,7-17,2
BCC,1.022,1.211,299294,0.284,0.220,2-8,2
BCEI,1.000,0.912,155000,0.253,0.171,1-7,2
BCRH,1.002,0.972,121562,0.714,0.181,17-21-32-35,2
BERY,1.011,0.953,448529,0.261,0.070,8-17-18-21-39-233,2
BFAM,1.022,1.261,280275,0.161,0.171,2-17-19,2
BITA,1.074,1.000,127200,0.257,0.114,18-32,2
BKFS,1.014,1.071,472500,0.276,0.200,8-19-37,2
BKU,1.000,1.093,855500,0.299,0.097,7-8,2
BLOX,1.036,1.406,168750,0.170,0.144,2-7,2
BNK,1.023,1.035,46315,0.165,0.026,35-38,2
BOOT,1.020,1.188,95000,0.201,0.262,3-4-19,2
BOX,1.086,1.443,252500,1.000,0.262,1-7-19,2
BRSS,1.060,1.068,82250,0.332,0.054,2-7,2
BRX,1.010,1.032,851812,0.185,0.079,8-18-19-37,2
BSM,1.016,1.008,430874,0.237,0.047,8-17-18,2
BURL,1.033,1.356,307333,0.186,0.256,7-8-19-37,2
CBPX,1.056,1.047,172474,0.267,0.055,1-18,2
CCG,1.011,1.000,354166,0.997,0.033,2-10-17-18-38,2
CCS,1.017,1.000,103040,0.209,0.124,19-21-120,2
CCSC,1.058,1.515,125000,0.050,0.151,1-8,2
CELP,1.006,1.000,75000,0.634,0.046,26-31-38-39,2
CFG,1.012,1.000,3010000,0.250,0.090,2-7,2
CHCT,1.007,1.000,118750,0.951,0.020,5-34-48,2
CHGG,1.023,0.880,165000,0.184,0.234,8-19,2
CHKR,1.000,1.000,380000,0.570,0.084,7-38,2
CHMI,1.014,0.925,120250,0.867,0.150,7-17-18-32,2
CIO,1.000,1.000,72500,0.724,0.029,12-27-40,2
CIVI,1.011,1.000,198900,0.317,0.082,3-8-17-32,2
CJES,1.033,1.034,345000,0.222,0.172,2-18-19,2
CMCM,1.042,1.089,183000,1.000,0.072,1-7-19,2
CMRE,1.010,1.000,159600,0.221,0.065,7-8,2
CNNX,1.023,1.295,498750,0.600,0.134,8-18-19-37-39,2
CNXC,1.032,1.000,75000,0.431,0.070,8-37,2
COR,1.014,1.000,270400,0.988,0.069,8-10-18,2
COTY,1.001,1.000,999999,0.791,0.170,7-8-19-228,2
COUP,1.133,1.697,285075,0.144,0.136,2-8-10-110,1
CPAC,1.000,1.000,230000,0.039,0.039,19,2
CPPL,1.009,1.217,1310719,1.000,0.147,8-17-18,2
CRCM,1.061,1.248,113473,0.180,0.169,7-8-19,2
CSLT,1.073,2.344,416250,1.000,0.131,2-7,2
CSTM,1.019,0.900,299999,0.218,0.050,2-19-21-95,2
CTLT,1.007,0.976,850000,0.362,0.070,7-19,2
CTT,1.014,1.000,142105,0.755,0.027,26-38-39,2
CVRR,1.017,1.010,606000,0.163,0.080,1-18,2
CVT,1.034,1.810,212800,0.145,0.204,2-7,2
CYNI,1.084,0.914,80400,0.180,0.121,2-19,2
DANG,1.061,1.531,416500,0.044,0.139,1-7,2
DATA,1.057,1.516,385400,1.000,0.151,2-7,2
DEA,1.012,1.083,195000,0.536,0.043,10-18-38,2
DKL,1.027,1.100,184880,0.667,0.068,8-17,2
DLNG,1.020,0.944,212500,0.834,0.121,1,2
DLPH,1.024,0.966,511675,0.073,0.092,2-19,2
DM,1.089,1.071,393750,0.547,0.137,17-18-19,2
DMD,1.064,1.382,209150,0.109,0.122,2-7,2
DOC,1.013,1.000,119999,0.977,0.013,12-27-33-40-46,2
DPLO,1.008,1.231,213333,0.264,0.134,1-7,2
DQ,1.063,1.051,79840,0.047,0.023,7,2
DRII,1.013,1.040,225680,0.211,0.049,1,2
DWRE,1.030,1.578,138875,0.196,0.166,2-21,2
EARN,1.012,0.950,122550,0.706,0.146,1-21,2
ECOM,1.080,1.257,101200,0.281,0.101,2-26,2
ECR,1.007,1.000,818100,0.189,0.097,2-7-18,2
ECT,1.012,1.000,176050,0.667,0.026,18-38,2
EFC,1.019,0.956,96750,0.273,0.141,21,2
EHIC,1.002,1.012,121400,1.000,0.000,19-21-135,2
ELLI,1.133,1.000,45000,0.368,0.075,17,2
EMES,1.003,0.994,126749,0.323,0.125,8-18-19-37,2
ENBL,1.006,1.075,537500,0.120,0.109,2-7-17,2
ENV,1.090,1.039,65450,0.227,0.037,7-17-32,2
EPAM,1.047,1.146,82500,0.146,0.098,17-18-32-245-246,2
EPE,1.005,0.995,700480,0.144,0.119,1-19,2
EQGP,1.048,1.185,736000,0.086,0.212,2-17,2
EQM,1.022,1.095,287500,0.721,0.133,17-18,2
EROS,1.027,1.009,55500,0.217,0.011,3-7-8-21-32,2
ESNT,1.005,1.294,433622,0.236,0.186,2-17-19,2
ESRT,1.025,1.004,933075,0.790,0.084,2-8,2
EURN,1.017,0.980,195120,0.110,0.045,7-18-19-21,2
EVA,1.060,1.000,200000,0.840,0.096,2-10-17-18,2
EVDY,1.017,1.036,103675,0.241,0.131,1-18-19,2
EVGN,1.065,1.051,77500,0.208,0.016,1-21,1
EVH,1.014,1.059,207000,0.289,0.172,2-19,2
EVHC,1.017,1.098,1060500,0.241,0.096,2-8-17-18,2
EVTC,1.007,1.093,552000,0.319,0.171,2-19,2
EXAM,1.045,1.047,172525,0.338,0.121,1-2-17,2
FCB,1.024,0.932,154160,0.224,0.136,8-19-21,2
FELP,1.010,1.000,350000,0.270,0.125,7-17-18,2
FENG,1.050,1.009,141719,0.044,0.044,7-21-54,2
FET,1.018,1.125,426315,0.224,0.109,19,2
FGL,1.000,1.118,185250,0.172,0.060,1-3-19,2
FI,1.028,1.239,817500,0.201,0.089,1-17-100,2
FIT,1.049,1.520,1111880,1.000,0.199,7-8-21,2
FLT,1.014,1.087,316875,0.161,0.109,2-19,2
FLTX,1.041,1.350,179296,0.227,0.132,8-17,2
FMSA,1.019,1.034,413750,0.156,0.087,7-17-37,2
FSB,1.009,1.000,55440,0.252,0.036,8,2
FSL,1.026,1.056,826500,0.181,0.099,18-21,2
FTAI,1.028,0.941,320000,0.272,0.076,8-17-18-21,2
FXCM,1.011,1.071,225900,1.000,0.074,1-18-19,2
GCAP,1.022,1.006,81450,0.289,0.063,7-21,2
GDDY,1.026,1.307,601450,0.372,0.150,7-18-19,2
GDOT,1.039,1.199,196679,0.674,0.162,7-19,2
GI,1.082,0.967,92075,0.259,0.173,8-19,2
GIMO,1.112,1.215,155790,0.229,0.279,1-2-8,2
GKOS,1.031,1.617,174660,0.198,0.177,2-8-19,2
GLOB,1.000,1.295,75757,0.175,0.057,1-18-19,2
GLOG,1.031,0.893,293750,0.374,0.055,2-18,2
GLOP,1.032,1.214,214200,0.855,0.108,1-18-37,2
GM,1.028,1.061,16730000,0.319,0.079,7-8-18-19,2
GMED,1.060,1.092,109166,0.133,0.014,2-4-8,2
GNC,1.005,1.038,373500,0.257,0.091,2-19,2
GNRT,1.035,0.911,191250,0.188,0.104,3-18-32-48,2
GPRK,1.001,0.963,90990,0.235,0.020,19-22-144-218,2
GRAM,1.021,1.010,417069,0.030,0.049,1-7-19-144,2
GRUB,1.020,1.538,296224,0.094,0.153,7-18,2
GWB,1.003,1.000,288000,0.276,0.062,8-21,2
GWRE,1.040,1.288,148237,0.181,0.158,18-19-21,2
GZT,1.011,0.972,78750,0.055,0.100,18-21,2
HASI,1.025,0.928,154666,0.881,0.040,8-32-37,2
HCA,1.010,1.040,3937440,0.245,0.093,8-18-19,2
HCC,1.039,0.921,291666,0.312,0.125,1-7-18,2
HCLP,1.058,1.000,191250,0.825,0.095,7-17,2
HIFR,1.003,1.158,532800,0.454,0.000,8-18,2
HIVE,1.104,0.895,67125,0.172,0.167,2-8,2
HLT,1.100,1.065,2505745,0.119,0.086,2-7-8-21,2
HMLP,1.011,1.100,211200,0.730,0.149,7-8-18,2
HRTG,1.029,1.050,69300,0.208,0.026,18-34,2
HUBS,1.001,1.318,164750,0.165,0.215,7-19-32,2
I,1.042,0.944,328502,0.184,0.057,2-7-8-19,2
IBP,1.032,1.118,91635,0.253,0.130,21-32,2
ICD,1.015,1.000,110000,0.438,0.065,7-10-17-87,2
ICL,1.020,1.014,427122,0.047,0.060,7-17,2
IFT,1.014,1.000,179166,0.822,0.060,120,2
IL,1.004,1.000,143000,0.223,0.063,1-7-21,2
IMPR,1.029,1.133,85000,0.219,0.158,4-19,2
IMPV,1.022,1.278,115000,0.226,0.121,19-21,1
IMS,1.026,1.109,1441700,0.196,0.073,2-7-19,2
INN,1.005,1.015,257400,0.953,0.048,10-21-39,2
INVN,1.029,1.107,83000,0.126,0.087,2-7,2
INXN,1.068,1.115,295441,0.314,0.123,8-17-18,2
IPHI,1.057,1.250,102000,0.283,0.097,3-7-21,2
JCAP,1.020,1.002,100250,0.951,0.012,38-39-40,2
JGW,1.002,0.955,130357,0.999,0.090,1-17,2
JMEI,1.038,1.239,303565,1.000,0.121,1-19-135,2
JMI,1.003,0.988,143187,0.967,0.169,1-17-18-21,2
JONE,1.015,0.936,175500,1.000,0.075,17-19-37,2
JP,1.066,1.041,55173,1.000,0.055,1-44,2
JPEP,1.010,1.025,281875,0.755,0.088,8-17-21,2
KING,1.098,0.911,455100,0.070,0.228,1-8-19,2
KMI,1.009,1.057,3026291,1.000,0.073,2-17,2
KNOP,1.000,1.095,171350,0.870,0.101,8-17-18,2
KORS,1.009,1.250,1180000,0.247,0.175,2-7-19,2
KOS,1.010,1.083,643500,0.088,0.055,1-17-18,2
LADR,1.012,0.971,218625,0.273,0.082,8-18-19-21-37,2
LC,1.028,1.650,1428075,0.160,0.100,2-7,2
LEJU,1.014,1.080,108000,1.000,0.070,1-19-54,2
LITB,1.120,1.175,92628,1.000,0.087,1-26,2
LNKD,1.120,1.844,650720,1.000,0.287,7-8-19,2
LOCK,1.054,0.931,131566,0.182,0.148,2-8-21,2
LPG,1.008,1.000,134999,0.125,0.052,19-32,2
LPI,1.032,1.015,301875,0.140,0.073,19,2
LQ,1.005,0.985,640687,0.309,0.102,7-19,2
LRE,1.011,1.000,178752,0.601,0.052,37,2
LXFR,1.063,1.100,88000,1.000,0.033,1-3,2
LXFT,1.007,1.224,85115,0.792,0.000,1-19-32,2
MANU,1.011,1.004,234166,0.420,0.139,1-3-19,2
MBLY,1.077,1.440,1281204,0.168,0.135,2-7,2
MC,1.008,1.080,175500,0.455,0.095,2-7,2
MCRN,1.009,0.975,278571,0.215,0.080,8-17-19,2
MDLY,1.026,0.944,101939,1.000,0.079,1-2,2
MEP,1.016,0.944,314500,0.818,0.083,8-17-18,2
MITT,1.005,0.975,107250,0.595,0.074,10-21-26,2
MIXT,1.012,1.250,125921,1.000,0.074,6-38,2
MM,1.116,1.923,255000,0.136,0.201,2-7-17,2
MMI,1.026,1.117,80400,0.168,0.052,2-18,2
MN,1.019,1.000,150000,1.000,0.063,8,2
MODN,1.043,1.310,136822,0.314,0.238,19-21,2
MPG,1.016,1.017,152500,0.149,0.059,2-8-21,2
MPLX,1.029,1.159,441150,0.468,0.123,7-8-32,2
MPO,1.045,1.019,318000,0.366,0.039,2-7-37,2
MRC,1.018,0.976,465909,0.224,0.069,2-17,2
MRIN,1.050,1.357,142500,0.243,0.124,2-21,2
MTDR,1.000,0.979,156666,0.244,0.065,10-18,2
MX,1.036,1.000,133000,0.241,0.037,2-17-21,2
MXPT,1.022,0.957,71500,0.254,0.130,2-21-42,2
MYCC,1.012,1.089,274500,0.282,0.085,2-3-18,2
NADL,1.035,0.919,114864,0.056,0.068,2-7-17,2
NAO,1.071,0.875,82352,0.261,0.080,1-7-19-65-67,2
NAP,1.023,0.880,106920,0.867,0.116,1-8-18-19,2
NBHC,1.000,1.052,144787,0.155,0.061,2-35,2
NDRO,1.005,0.989,287100,0.400,0.137,2-10-17-18-37,2
NEFF,1.070,0.983,154523,1.000,0.128,3-4-7,2
NEP,1.020,1.302,528937,1.000,0.100,2-7-8,2
NEWR,1.083,1.311,150800,0.109,0.194,7-19,2
NGL,1.012,1.000,73500,0.411,0.075,10-37,2
NGVC,1.043,1.200,128571,0.328,0.158,4-5,2
NLSN,1.009,1.076,1767857,0.205,0.089,7-19,2
NMBL,1.013,1.481,248800,0.114,0.209,2-7,2
NOAH,1.029,1.250,126000,0.307,0.129,8-19,2
NORD,1.021,1.094,332500,0.200,0.122,1-2-19,2
NOW,1.006,1.319,276687,0.097,0.131,7-18-21,2
NPTN,1.032,1.273,105000,0.319,0.118,8-21,2
NSA,1.023,1.000,260000,0.475,0.095,3-7-37,2
NSLP,1.002,1.000,80000,0.777,0.065,26-39,2
NSM,1.024,0.969,226166,0.192,0.074,1-8-18-37,2
NTI,1.049,0.976,221975,0.221,0.090,2-8-17,2
NVGS,1.035,1.074,244799,0.217,0.096,3-7,2
NVRO,1.062,1.300,163800,0.297,0.134,7-19,2
NVTA,1.019,1.094,111125,0.206,0.210,19,2
NWHM,1.022,1.045,89843,0.475,0.050,1-18-19,2
NYLD,1.006,1.216,523631,1.000,0.188,2-8-18,2
OAK,1.012,0.953,362563,0.289,0.094,2-7,2
OAKS,1.017,0.967,58483,0.546,0.113,1-17-32-35,2
OCIP,1.020,0.958,301875,0.217,0.153,8-17-18,2
OCIR,1.026,0.961,91250,0.511,0.151,2-18,2
OEC,1.032,0.989,347100,0.327,0.119,2-7,2
OMAM,1.000,1.000,308000,0.183,0.056,1-7-8-18,2
ONDK,1.042,1.325,265000,0.151,0.191,3-7-8-19-21,2
OOMA,1.028,0.931,60500,0.295,0.067,1-8,2
OPWR,1.040,1.316,152500,0.129,0.116,2-7,2
ORC,1.010,0.973,34456,0.706,0.029,12-96,2
P,1.300,1.250,293680,0.092,0.139,7-18-19,2
PACD,1.005,1.000,49500,0.028,0.022,7-21,2
PAGP,1.012,1.034,2912000,1.000,0.046,2-17-19,2
PANW,1.125,1.313,341930,0.093,0.141,2-7-18,2
PAYC,1.001,1.193,118945,0.131,0.049,17-19,2
PBF,1.006,1.077,574000,1.000,0.082,7-18,2
PBFX,1.011,1.217,385000,0.866,0.115,17-32,2
PE,1.008,1.205,1115000,0.584,0.062,1-2,2
PF,1.017,1.113,645540,0.257,0.128,8-17,2
PFSI,1.028,1.014,202777,1.000,0.065,1-2-8-18,2
PGEM,1.050,1.064,352894,0.244,0.119,1-2-19,2
PGND,1.027,1.107,246263,0.170,0.171,2-6-17,2
PGRE,1.001,1.057,2422190,0.681,0.073,7-8-37,2
PN,1.006,0.964,112178,0.315,0.059,5-31-32,2
PRLB,1.103,1.563,107543,0.185,0.000,3-4,2
PRTY,1.017,1.206,448437,0.189,0.211,2-8,2
PSXP,1.018,1.260,475996,0.466,0.205,7-19,2
Q,1.006,1.094,1036421,0.184,0.136,7-17-19,2
QEPM,1.015,1.108,465400,0.749,0.151,7-37,2
QIHU,1.237,1.862,326991,0.070,0.164,18-32,2
QTS,1.018,1.067,274400,0.454,0.068,2-3,2
QTWO,1.031,1.250,126114,0.243,0.204,19-26,2
RATE,1.021,0.933,280000,0.200,0.037,2-8,2
RCAP,1.002,0.988,49375,1.000,0.035,33-96-168,2
RENN,1.231,1.393,1035450,0.045,0.143,7-8-21,2
REXR,1.003,1.054,236000,0.634,0.048,8-19-37-120,2
RH,1.034,1.335,165516,0.140,0.174,2-8,2
RICE,1.027,1.043,963599,0.345,0.077,2-17-18,2
RIGP,1.100,1.000,385000,0.423,0.190,7-17,2
RKUS,1.000,1.000,126000,0.114,0.184,2-7,2
RLD,1.010,1.222,244375,0.262,0.181,4-19,2
RLGY,1.034,1.217,1314000,0.307,0.135,2-17-19,2
RLJ,1.011,0.958,474375,0.267,0.058,8-17-37,2
RM,1.019,1.133,71400,0.341,0.073,3-55,2
RMAX,1.024,1.193,262500,0.989,0.167,7-8-19,2
RMP,1.035,0.957,394750,0.869,0.078,17-18-37,2
RNDY,1.048,0.988,161127,0.428,0.100,1-3-19-39,2
RNF,1.010,1.000,300000,0.392,0.102,7,2
RNG,1.068,1.327,129375,1.000,0.125,2-8-19,2
ROYT,1.018,1.000,370000,0.479,0.079,8-17-18-19-32-37,2
RPAI,1.008,1.097,279204,0.396,0.039,9-18-19-21,2
RRMS,1.020,1.025,143500,0.834,0.119,17-18-21,2
RSPP,1.016,1.051,410000,0.276,0.071,17-19,2
RUBI,1.040,1.167,118492,0.195,0.170,2-7-10,2
RXN,1.019,1.058,451184,0.262,0.094,1-2-8-21,2
RYI,1.014,0.941,113850,0.343,0.080,8-19-21-31,2
SALT,1.026,1.000,305175,0.236,0.020,21,2
SBY,1.006,1.011,247775,0.355,0.072,1-8-19,2
SC,1.029,1.073,1931030,0.216,0.067,18-19,2
SDLP,1.029,1.091,210000,0.353,0.128,7-18-37,2
SDR,1.005,1.038,566800,0.523,0.059,7-8-38,2
SE,1.046,1.083,958100,1.000,0.118,1-7-135,2
SEAS,1.020,1.132,794560,0.280,0.193,2-19,2
SERV,1.010,1.026,626455,0.281,0.100,1-2-7-19,2
SFS,1.024,1.092,176195,0.189,0.091,1-7-21,2
SFUN,1.035,1.576,196526,0.060,0.125,21-135,2
SGM,1.062,1.074,121978,0.287,0.046,1-8-17-120,2
SHAK,1.019,2.287,240150,0.442,0.000,7-19,2
SHLX,1.015,1.391,1280000,0.593,0.179,17-18,2
SHOP,1.026,1.647,215600,1.000,0.178,1-7-10,2
SIR,1.011,1.012,174000,0.267,0.054,7-8-37,1
SLCA,1.011,1.015,202941,0.222,0.077,3-7-8,2
SMLP,1.016,1.050,262500,0.512,0.040,8-17,2
SN,1.020,0.909,200000,0.303,0.019,54-182,2
SNOW,1.023,0.926,173593,0.347,0.079,1-2-8-21,2
SQNS,1.039,0.900,69300,0.223,0.171,3-32,2
SRC,1.007,1.000,435000,0.360,0.094,7,2
SRLP,1.008,0.972,148750,0.844,0.108,8-17-19,2
SSNI,1.022,1.294,104500,0.105,0.120,1-2-7,2
SSTK,1.018,1.324,101250,0.137,0.183,3-7-21,2
STAY,1.011,1.137,642687,0.141,0.104,2-19-21,2
STOR,1.005,1.062,540375,0.248,0.079,1-2-7,2
SUM,1.004,1.120,447999,0.956,0.163,2-18,2
SWFT,1.008,1.000,806300,0.549,0.092,7-8-37,2
SXC,1.015,1.062,197200,0.166,0.206,1-2-8,2
SXCP,1.015,1.000,256500,0.859,0.220,8-17-18,2
SXE,1.040,1.100,198000,0.737,0.154,18-37,2
SYF,1.043,1.000,2875000,0.151,0.070,2-7-18-19,2
TAOM,1.296,0.943,61021,0.010,0.054,1-21,2
TCPI,1.009,1.000,78571,0.258,0.142,4-21,2
TCS,1.035,1.944,437500,0.271,0.251,1-17-19,2
TDOC,1.028,1.574,246675,0.223,0.171,19-21,2
TEGP,1.018,1.066,1282350,1.000,0.166,2-18,2
TEP,1.026,1.023,287100,0.537,0.095,8-17-18-21,2
TEU,1.000,1.000,132000,0.683,0.084,7-32,2
THR,1.016,1.004,120500,0.346,0.036,3-17,2
TLLP,1.006,1.107,302250,0.852,0.120,1-8-18-37,2
TLYS,1.026,1.213,150400,1.000,0.158,2-4-8,2
TMHC,1.018,1.061,667156,1.000,0.130,1-18,2
TNET,1.050,1.156,277500,0.220,0.209,7-19-21,2
TOWR,1.014,1.042,84687,0.334,0.042,2-18-19,2
TPH,1.009,1.151,267756,0.433,0.141,18-21-120,2
TPRE,1.028,0.980,270152,0.219,0.086,1-7-19,2
TRGP,1.012,1.095,394637,0.387,0.082,7-8-17,2
TRMR,1.008,1.100,82500,0.152,0.099,1-3,2
TRU,1.015,1.094,727409,0.166,0.154,2-8-19-21,2
TRUP,1.018,1.125,80156,0.268,0.027,10-17-26,1
TSE,1.005,1.087,206500,0.212,0.111,2-7-18-21,2
TSQ,1.000,0.976,89499,0.951,0.097,3-8-10,2
TUMI,1.035,1.444,488276,0.277,0.158,1-2-19,2
TVPT,1.001,1.106,530700,0.250,0.092,1-7-21-32,2
TWTR,1.083,1.735,3157000,0.129,0.169,2-7-19,2
TXTR,1.049,1.600,120000,0.228,0.150,1-6,2
UAN,1.007,1.129,346752,0.263,0.000,2-7-17,2
UCP,1.028,0.983,114312,1.000,0.155,18-21-195,2
UNVR,1.012,1.095,843500,0.254,0.135,2-8-21,2
USAC,1.014,0.972,192500,0.731,0.123,2-17-19-37,2
USDP,1.027,0.929,144096,0.893,0.097,1-8-17-18,2
VCRA,1.020,1.500,140400,0.269,0.217,4-19,2
VEEV,1.043,1.900,495710,1.000,0.158,7-21,2
VIPS,1.038,0.923,66027,0.109,0.106,21-135,2
VJET,1.350,1.538,130000,1.000,0.076,4-18,2
VLP,1.012,1.228,423750,0.521,0.211,17-19,2
VMEM,1.064,0.833,135000,0.220,0.187,8-19-21,2
VNCE,1.033,1.475,295000,0.276,0.252,2-39,2
VOC,1.011,1.060,246752,0.652,0.073,7-38,2
VOYA,1.048,0.987,1254951,0.250,0.060,2-7-18,2
VSLR,1.100,1.063,350406,0.196,0.181,1-2-8,2
VTTI,1.083,1.000,367500,0.870,0.122,18-19,2
W,1.028,1.241,396000,1.000,0.195,2-8-18,2
WAGE,1.016,1.110,64935,0.253,0.111,1-6-26,2
WAIR,1.003,0.983,309750,0.245,0.074,7-17,2
WBAI,1.093,1.538,115720,1.000,0.150,21,2
WCIC,1.012,1.017,103991,0.265,0.052,1-18-19,2
WD,1.013,1.000,100000,0.457,0.067,1-7-35,2
WDAY,1.025,1.716,1093137,1.000,0.093,2-7,1
WGP,1.030,1.235,466979,0.080,0.146,17-18,2
WHZ,1.064,1.050,336000,0.870,0.020,7-38,2
WK,1.053,1.000,100800,0.266,0.140,1-7,2
WLH,1.072,1.045,227244,0.323,0.137,1-18,2
WLKP,1.012,1.262,340650,0.887,0.130,17-32,2
WMC,1.005,0.940,150400,0.774,0.166,3-18-19-21,2
WMS,1.012,1.003,232725,0.275,0.063,17-21,2
WNRL,1.031,1.091,330000,0.603,0.123,8-17,2
WPT,1.010,0.975,170625,0.531,0.074,8,2
WSR,1.000,1.000,26400,1.000,0.030,40-96,2
WUBA,1.171,1.247,233200,1.000,0.149,1-7-18,2
WWAV,1.009,1.118,437000,1.000,0.104,1-8-19,2
XON,1.064,1.319,210999,0.105,0.102,17-19,2
XRS,1.068,1.400,168000,0.081,0.086,1-7,2
XTLY,1.061,1.000,56300,0.254,0.085,19-21,2
XUE,1.030,1.505,192049,0.100,0.084,135,2
YELP,1.181,1.467,157371,1.000,0.166,2-18,2
YOKU,1.111,2.109,427887,0.009,0.098,135,2
ZAYO,1.046,1.132,452842,0.088,0.070,2-7-17,2
ZEN,1.046,1.267,126666,0.158,0.074,1-2-7,2
ZFC,1.005,0.965,115825,0.709,0.236,1-17-18-21,2
ZOES,1.010,1.832,149624,0.317,0.189,3-4-6-39,2
ZPIN,1.084,1.075,81401,1.000,0.090,1-32,2
ZTS,1.008,1.212,2712150,1.000,0.159,7-8-19,2
ZX,1.033,1.000,77400,0.062,0.073,7,2
ARWAU,1.003,1.001,72072,0.762,0.013,99,1
AUMAU,1.016,0.966,231840,0.800,0.031,18,1
BHACU,1.000,1.000,40000,0.755,0.025,99,1
CADTU,1.000,1.000,60000,0.767,0.034,69-99,1
CAMBU,1.004,1.000,70000,0.763,0.065,99,1
CNLMU,1.009,1.001,40040,0.757,0.037,99,1
GGACU,1.002,1.003,125374,0.772,0.035,99,1
HDRAU,1.007,0.978,78240,0.800,0.053,32,1
HRMNU,1.004,1.000,100000,0.759,0.048,30,1
QPACU,1.001,1.000,350000,0.800,0.058,21-30,1
ROIQU,1.002,1.000,125000,0.800,0.030,21,1
SMACU,1.007,1.000,40000,0.768,0.120,30,1
TFSCU,1.001,1.000,40000,0.772,0.062,99,1
TRTLU,1.004,1.000,185000,0.800,0.037,21,1
WLRHU,1.006,1.008,438480,0.800,0.016,8-21,1
FCAU,1.016,1.018,974399,0.068,0.003,2-17-19-32,2
RUN,1.019,0.933,233774,0.185,0.119,1-2-7,1
ZYNE,1.231,1.286,54000,0.343,0.041,3-4,1
XCOM,1.048,1.000,25000,0.292,0.040,31-41-57,1
MRUS,1.038,0.975,53625,0.357,0.035,3-18-92,1
AXSM,1.049,1.000,51000,0.296,0.012,96,1
HLI,1.006,1.083,238875,0.999,0.051,2-8,2
ATKR,1.041,0.984,189000,0.192,0.067,1-19-21,2
SRTSU,1.101,1.049,11540,0.158,0.010,16-94-294-295,1
KTOV,1.045,0.791,10298,0.830,0.013,253-294,1
AGLE,1.072,1.000,50000,0.387,0.044,31-32-37-41,1
NVCR,1.016,0.916,151200,0.091,0.075,19-21-48,1
CFCOU,1.006,1.004,602400,0.800,0.026,1-8-18,1
ARA,1.013,1.205,198750,0.252,0.163,2-8-17,2
PFNX,1.000,1.000,49999,0.433,0.018,6-33,3
RACE,1.016,1.154,1030500,0.091,0.140,8-32,2
MTCH,1.015,1.131,452333,1.000,0.000,8-19-110,1
SENS,1.088,1.000,45030,0.173,0.007,11-56,3
GBT,1.183,1.732,207900,0.216,0.213,2-7,1
SRAQU,1.006,1.000,450000,0.800,0.027,2-18-21,1
KURA,1.031,1.000,50000,0.301,0.011,18-56,1
CRVS,1.026,1.000,70500,0.230,0.064,1-41,1
SBPH,1.032,0.940,10377,0.130,0.024,6-43-113,1
DLTH,1.107,1.083,86666,0.239,0.045,6-31-38-39,1
PAACU,1.003,1.002,50100,0.743,0.041,99,1
ELMD,1.074,1.012,6885,0.216,0.014,94,3
PTI,1.000,1.000,50000,0.374,0.053,10-56,1
RGNX,1.058,1.375,190638,0.249,0.174,4-7-8,1
BRG,1.001,1.000,50000,0.767,0.023,40,3
PSTG,1.011,0.985,418499,1.000,0.126,2-7-17-110,2
SGRY,1.059,0.924,250701,0.297,0.125,2-3-8,1
PAVMU,1.000,2.000,10600,0.079,0.000,93-115-301,1
EDGE,1.034,1.055,84855,0.266,0.043,1-56,1
TPB,1.030,1.000,54000,0.338,0.054,41-120,2
CNFR,1.067,0.929,30225,0.416,0.017,31-38,1
FORK,1.023,1.030,20600,0.255,0.021,45-90,1
MIME,1.090,1.100,85250,0.144,0.177,2-3-10-17,1
PLNT,1.034,0.906,195750,0.383,0.233,1-3-8-19,2
FDC,1.001,1.024,2622400,1.000,0.041,7-8-18-116,2
EQBK,1.000,1.078,47045,0.283,0.031,35-55,1
VYGR,1.051,1.079,75500,0.192,0.018,4-41,1
MIRN,1.102,1.036,45312,0.312,0.032,18-56,1
IOTS,1.086,1.120,28000,0.338,0.009,12-57,1
GWRS,1.000,1.301,9469,0.060,0.005,14,1
PMTS,1.173,1.100,165000,0.266,0.065,2-31-108,1
MSBI,1.005,1.003,80270,0.245,0.057,34-35,1
PEN,1.022,1.333,160000,0.133,0.190,8-19,2
