symbol,y,x1,x2,x3,x4,underwriter,exchange
CYBR,1.080,1.562,22500,0.028,1.681,17-19-21,1
CZR,1.541,1.007,16410,0.014,0.161,1-18,1
DATE,1.056,1.000,78100,0.151,0.113,8-18,1
DERM,1.028,1.125,140625,0.404,0.099,18-56,1
DFRG,1.001,0.981,73950,0.244,0.095,4-21-37,1
DNAI,1.177,1.687,232308,0.281,0.090,3-8,1
DNKN,1.098,1.316,556250,0.185,0.195,7-17-19,1
DPRX,1.086,1.217,40150,0.338,0.033,12,1
DRNA,1.161,2.000,180000,0.361,0.078,3-26-56,1
DSKY,1.089,1.167,134750,1.000,0.175,1-19-26,1
DTEA,1.052,1.316,127551,0.220,0.227,2-19,1
EAC,1.031,1.000,38400,0.500,0.029,12-26-80,1
EARS,1.024,1.017,57340,0.333,0.031,3-56,1
EBIO,1.062,1.035,51750,0.325,0.039,18-41-56,1
ECYT,1.069,1.067,80000,0.451,0.006,10-56,1
EGLT,1.013,1.042,52500,0.287,0.038,26-33,1
EGRX,1.061,1.033,51925,0.241,0.124,4-6,1
EIGI,1.044,0.917,231561,0.167,0.086,1-2-7,1
ENPH,1.035,1.250,67272,0.228,0.050,7-8-21,1
ENVI,1.057,1.039,72509,0.291,0.092,2-4-21-26,1
EPZM,1.040,1.333,102840,0.186,0.088,18-41-56,1
ESPR,1.009,1.086,76000,0.355,0.000,1-18,1
ETSY,1.124,1.938,516666,0.150,0.074,2-7,1
EVAR,1.031,1.000,55000,0.309,0.051,3-17,1
EVOK,1.027,0.929,23415,0.363,0.053,69,1
EXA,1.013,1.000,62500,0.474,0.064,26,1
EYES,1.321,1.889,59500,0.101,0.011,134,1
FANG,1.026,1.018,222750,0.356,0.059,1,1
FATE,1.104,1.093,43733,0.348,0.017,31-41,1
FB,1.071,1.105,17691811,0.665,0.180,2-7-19,1
FBNK,1.045,1.100,189117,1.106,0.024,35,1
FEYE,1.055,2.015,611552,0.129,0.196,2-7-17-19,1
FGEN,1.020,1.278,186300,0.143,0.160,2-18-56,1
FIVE,1.023,1.532,250480,0.178,0.189,2-3-17,1
FIVN,1.176,1.136,79500,0.217,0.037,8-17-19,1
FLDM,1.052,1.000,75037,0.293,0.051,4-21,1
FLKS,1.026,1.188,102600,0.303,0.102,3-4,1
FLXN,1.008,1.231,80000,0.339,0.045,31-37,1
FMI,1.056,1.750,185499,0.217,0.254,2-19,1
FOGO,1.021,1.300,114705,0.162,0.338,3-19,1
FOMX,1.375,1.333,53600,0.312,0.100,17-41,1
FOXF,1.038,1.200,154285,0.236,0.105,4-6-39,1
FPRX,1.000,1.231,76800,0.300,0.094,3-31-37,1
FRAN,1.022,1.353,230000,0.230,0.221,2-3-19,1
FRPT,1.025,1.317,205729,0.328,0.206,1-2,1
FRSH,1.000,1.100,70583,0.344,0.120,3-37-39,1
FUEL,1.043,2.067,239800,0.123,0.166,1-18,1
FWM,1.023,1.385,245700,0.529,0.198,1-3-6-8,1
FWP,1.001,0.904,199394,0.229,0.079,3-10-56,1
GDEF,1.004,1.000,60000,0.715,0.059,41,1
GEVO,1.095,1.035,110968,0.290,0.058,4-18-32,1
GLBL,1.017,0.933,630000,0.383,0.122,7-17-18-19,1
GLMD,1.102,1.259,48235,0.266,0.041,13,1
GLPG,1.003,1.101,303265,0.199,0.054,1-7-41,1
GLYC,1.021,1.300,72800,0.429,0.044,3-17,1
GMAN,1.228,1.000,58928,0.286,0.058,4-37,1
GMLP,1.027,1.067,288000,0.519,0.221,7-8-18,1
GNBC,1.023,1.091,76734,0.184,0.049,3-34,1
GNCA,1.004,0.975,64349,0.319,0.138,18-41,1
GOGO,1.045,0.941,176000,0.130,0.138,7-19-32,1
GOMO,1.098,1.258,98770,1.000,0.185,1-19,1
GPIAU,1.000,1.005,150750,0.800,0.042,18,1
GPP,1.031,1.015,152300,0.629,0.113,8-17,1
GPRO,1.082,1.194,509970,1.000,0.178,17-18-19,1
GRPN,1.112,1.400,980000,0.055,0.084,1-2-7,1
GWGH,1.388,0.980,9800,0.136,0.006,29-58-114-140,1
HABT,1.200,1.667,150000,0.608,0.187,4-37-39,1
