date,symbol,ipo_price,open_price,pm,minutes,pem,shares,outstanding,leading_underwriter,exchange,sector,industry
20140618,CCS,23.00,23.00,23.40,0,23.40,4480000,21452587,jp morgan,NYSE,Industrial Goods,Capital Goods
20100928,CCSC,16.50,25.00,26.45,9,26.45,5000000,100080000,credit suisse,NYSE,Services,Restaurants
20140115,CELP,20.00,20.00,20.13,0,20.25,3750000,5913000,stifel nicolaus,NYSE,Basic Materials,Energy
20140924,CFG,21.50,21.50,21.75,10,22.25,140000000,559998324,goldman sachs,NYSE,N/A,Finance
20150521,CHCT,19.00,19.00,19.13,1,19.13,6250000,6573684,suntrust robinson humphrey,NYSE,N/A,Consumer Services
20131113,CHGG,12.50,11.00,11.25,0,11.25,15000000,81728265,bofa merrill lynch,NYSE,Services,Consumer Services
20111111,CHKR,19.00,19.00,19.00,0,19.00,20000000,35062500,morgan stanley,NYSE,Basic Materials,Energy
20131004,CHMI,20.00,18.50,18.76,0,19.19,6500000,7500000,morgan stanley,NYSE,Financial,Consumer Services
20140415,CIO,12.50,12.50,12.50,0,12.50,5800000,8011130,oppenheimer,NYSE,,Consumer Services
20140917,CIVI,17.00,17.00,17.19,1,17.19,11700000,36950000,jefferies,NYSE,Healthcare,Health Care
20110729,CJES,29.00,30.00,31.00,0,31.00,11500000,51886574,goldman sachs,NYSE,Basic Materials,Oil & Gas Equipment & Services
20140508,CMCM,14.00,15.25,15.89,10,16.43,12000000,12000000,credit suisse,NYSE,Technology,Technology
20101104,CMRE,12.00,12.00,12.12,1,12.12,13300000,60300000,morgan stanley,NYSE,Services,Transportation
20120622,CNCO,15.61,15.61,15.62,1,16.39,15265783,N/A,jp morgan,NYSE,Services,Specialty Retail Other
20140925,CNNX,22.00,28.50,29.16,4,29.16,17500000,29163121,bofa merrill lynch,NYSE,Basic Materials,Oil & Gas Pipelines
20150701,CNXC,15.00,15.00,15.48,7,15.61,5000000,11611067,bofa merrill lynch,NYSE,N/A,N/A
20100923,COR,16.00,16.00,16.22,8,16.22,16900000,17109042,bofa merrill lynch,NYSE,Financial,Consumer Services
20130613,COTY,17.50,17.50,17.52,1,17.52,57142857,72219007,morgan stanley,NYSE,Consumer Goods,Consumer Non-Durables
20140307,COUP,16.00,27.15,30.75,6,30.75,10500000,73169807,goldman sachs,NASDAQ,Technology,Technology
20120208,CPAC,11.50,11.50,11.50,0,11.50,20000000,518777479,jp morgan,NYSE,Industrial Goods,Capital Goods
20150206,CPPL,23.00,28.00,28.24,0,28.24,46811398,46811398,bofa merrill lynch,NYSE,Basic Materials,Oil & Gas Pipelines
20140124,CRCM,17.00,21.21,22.50,6,23.00,5350000,29746202,morgan stanley,NYSE,Technology,Consumer Services
20140314,CSLT,16.00,37.50,40.25,9,41.95,11100000,11100000,goldman sachs,NYSE,Technology,Technology
20130523,CSTM,15.00,13.50,13.75,3,13.90,22222222,101811560,goldman sachs,NYSE,Industrial Goods,Basic Industries
20140731,CTLT,20.50,20.00,20.15,0,20.15,42500000,117321337,morgan stanley,NYSE,Healthcare,Health Care
20131212,CTT,13.50,13.50,13.69,1,13.69,10526316,13934322,stifel nicolaus,NYSE,Industrial Goods,Consumer Services
20130117,CVRR,25.00,25.25,25.69,8,25.75,24000000,147600000,credit suisse,NYSE,Basic Materials,Energy
20130809,CVT,21.00,38.00,39.28,9,39.28,5600000,38667164,goldman sachs,NYSE,Technology,Application Software
20130509,CYNI,11.00,10.05,10.89,6,10.89,8000000,44531318,goldman sachs,NYSE,Technology,Communication Equipment
20101208,DANG,16.00,24.50,26.00,0,26.50,17000000,389554210,credit suisse,NYSE,Services,Catalog & Mail Order Houses
20130517,DATA,31.00,47.00,49.70,8,49.90,8200000,8200000,goldman sachs,NYSE,Technology,Technology
20150206,DEA,15.00,16.25,16.44,0,16.44,12000000,22368379,rbc,NYSE,N/A,Consumer Services
20121102,DKL,21.00,23.11,23.74,0,23.74,8000000,11999258,bofa merrill lynch,NYSE,Basic Materials,Energy
20131113,DLNG,18.00,17.00,17.34,9,17.59,12500000,14985000,credit suisse,NYSE,Services,Consumer Services
20111117,DLPH,22.00,21.25,21.75,10,21.76,24078827,328244510,goldman sachs,NYSE,Consumer Goods,Capital Goods
20141015,DM,21.00,22.50,24.50,9,24.50,17500000,31972789,barclays,NYSE,Basic Materials,Public Utilities
20110126,DMD,17.00,23.50,25.00,1,25.00,8900000,81964617,goldman sachs,NYSE,Technology,Internet Software & Services
20130719,DOC,11.50,11.50,11.65,0,11.65,10434782,10684782,oppenheimer,NYSE,Financial,Consumer Services
20141010,DPLO,13.00,16.00,16.12,0,16.12,13333333,50448744,credit suisse,NYSE,Healthcare,Health Care
20101007,DQ,9.50,9.98,10.61,8,10.61,8000000,169714103,morgan stanley,NYSE,Technology,Technology
20130719,DRII,14.00,14.56,14.75,5,15.00,15500000,73294118,credit suisse,NYSE,Services,Resorts & Casinos
20120315,DWRE,16.00,25.25,26.00,0,26.00,5500000,27997970,goldman sachs,NYSE,Technology,Application Software
20130501,EARN,20.00,19.00,19.23,7,19.29,6450000,9133378,credit suisse,NYSE,Financial,Consumer Services
20130523,ECOM,14.00,17.60,19.00,7,19.00,5750000,20471561,goldman sachs,NYSE,Technology,Technology
20140620,ECR,27.00,27.00,27.18,0,27.18,30300000,160000000,goldman sachs,NYSE,Basic Materials,Energy
20100701,ECT,20.00,20.00,20.25,3,20.25,8802500,13203750,citigroup,NYSE,Basic Materials,Energy
20101008,EFC,22.50,21.50,21.90,1,21.90,4500000,16485670,deutsche bank,NYSE,Financial,Finance
20141118,EHIC,12.00,12.14,12.16,0,12.16,10000000,10000000,jp morgan,NYSE,Services,Consumer Services
20110415,ELLI,6.00,6.00,6.80,0,6.80,7500000,20400134,barclays,NYSE,Technology,Technology
20130509,EMES,17.00,16.90,16.95,0,16.95,7500000,23219680,bofa merrill lynch,NYSE,Basic Materials,Basic Industries
20140411,ENBL,20.00,21.50,21.63,0,21.89,25000000,207855430,goldman sachs,NYSE,Basic Materials,Public Utilities
20100729,ENV,9.00,9.35,10.19,7,10.19,7000000,30795117,morgan stanley,NYSE,Services,Miscellaneous
20120208,EPAM,12.00,13.75,14.40,9,14.60,6000000,41125981,barclays,NYSE,Technology,Technology
20140117,EPE,20.00,19.90,19.99,1,19.99,35200000,243874975,credit suisse,NYSE,Basic Materials,Energy
20150512,EQGP,27.00,32.00,33.55,7,33.55,23000000,266165000,goldman sachs,NYSE,Basic Materials,Public Utilities
20120627,EQM,21.00,23.00,23.50,4,23.50,12500000,17339718,barclays,NYSE,Basic Materials,Public Utilities
20131113,EROS,11.00,11.10,11.40,1,11.40,5000000,23037548,jefferies,NYSE,Services,Consumer Services
20131031,ESNT,17.00,22.00,22.10,0,22.10,19710118,83538156,goldman sachs,NYSE,Financial,Finance
20131002,ESRT,13.00,13.05,13.37,10,13.40,71500000,90524236,goldman sachs,NYSE,Financial,Consumer Services
20150123,EURN,12.25,12.00,12.20,0,12.25,16260000,147310666,morgan stanley,NYSE,N/A,Transportation
20150429,EVA,20.00,20.00,21.21,9,21.27,10000000,11905138,goldman sachs,NYSE,Industrial Goods,Basic Industries
20140328,EVDY,14.00,14.50,14.75,1,14.75,7150000,29678020,credit suisse,NYSE,Technology,Healthcare Information Services
20120503,EVER,10.00,10.40,10.50,8,10.58,19220000,113179343,goldman sachs,NYSE,Financial,Regional - Southeast Banks
20131121,EVGN,14.75,15.50,16.50,0,16.50,5000000,24069577,credit suisse,NASDAQ,Healthcare,Basic Industries
20150605,EVH,17.00,18.00,18.25,1,18.53,11500000,39726748,goldman sachs,NYSE,Technology,Consumer Services
20130814,EVHC,23.00,25.25,25.69,2,25.69,42000000,174082885,goldman sachs,NYSE,Healthcare,Health Care
20130412,EVTC,20.00,21.85,22.00,2,22.00,25263159,79096144,goldman sachs,NYSE,Technology,Technology
20101028,EXAM,16.00,16.75,17.50,0,17.50,10300000,30439451,credit suisse,NYSE,Financial,Insurance Brokers
20140801,FCB,22.00,20.50,21.00,9,21.00,7520000,33504414,bofa merrill lynch,NYSE,Financial,Finance
20140618,FELP,20.00,20.00,20.20,0,20.20,17500000,64738895,morgan stanley,NYSE,Basic Materials,Energy
20110512,FENG,11.00,11.10,11.66,2,14.30,12767500,289105437,morgan stanley,NYSE,Technology,Consumer Services
20120412,FET,20.00,22.50,22.90,0,22.90,18947366,84566983,jp morgan,NYSE,Basic Materials,Energy
20131213,FGL,17.00,19.00,19.00,0,19.00,9750000,56750000,credit suisse,NYSE,,
20130809,FI,22.00,27.25,28.02,10,28.60,30000000,149024000,credit suisse,NYSE,Basic Materials,Energy
20150618,FIT,20.00,30.40,31.90,2,31.90,36575000,36575000,morgan stanley,NYSE,Technology,Technology
20101215,FLT,23.00,25.00,25.34,2,25.98,12675000,78719146,goldman sachs,NYSE,Services,Miscellaneous
20121005,FLTX,17.00,22.95,23.88,0,23.88,7812500,34418867,bofa merrill lynch,NYSE,Technology,Application Software
20141003,FMSA,16.00,16.55,16.87,2,16.92,25000000,159910874,morgan stanley,NYSE,Basic Materials,Basic Industries
20150326,FSB,21.00,21.00,21.18,0,21.18,2640000,10457385,bofa merrill lynch,NYSE,Financial,Finance
20110526,FSL,18.00,19.00,19.50,5,19.50,43500000,239858593,citigroup,NYSE,Technology,Semiconductor - Broad Line
20150515,FTAI,17.00,16.00,16.44,5,16.49,20000000,73502873,bofa merrill lynch,NYSE,Services,Energy
20101202,FXCM,14.00,15.00,15.17,7,15.25,15060000,15060000,credit suisse,NYSE,Financial,Investment Brokerage - National
20101215,GCAP,9.00,9.05,9.25,4,9.25,9000000,31148058,morgan stanley,NYSE,Financial,Finance
20150401,GDDY,20.00,26.15,26.84,0,26.84,23000000,61825912,morgan stanley,NYSE,Technology,Technology
20100722,GDOT,36.00,43.15,44.84,0,44.84,4558050,6766602,morgan stanley,NYSE,Financial,Finance
20150605,GI,15.00,14.50,15.69,9,16.17,6350000,24510787,bofa merrill lynch,NYSE,Healthcare,Medical Appliances & Equipment
20130612,GIMO,19.00,23.08,25.66,8,25.66,6750000,29461482,credit suisse,NYSE,Technology,Networking & Communication Devices
20150625,GKOS,18.00,29.11,30.00,0,30.00,6000000,30363331,goldman sachs,NYSE,Healthcare,Health Care
20140718,GLOB,10.00,12.95,12.95,0,12.99,5850000,33345158,credit suisse,NYSE,Technology,Technology
20120330,GLOG,14.00,12.50,12.89,1,12.89,23500000,62863166,goldman sachs,NYSE,Services,Consumer Services
20140507,GLOP,21.00,25.50,26.31,6,26.40,8400000,9822358,credit suisse,NYSE,Services,Consumer Services
20101118,GM,33.00,35.00,35.99,4,35.99,478000000,1500000000,morgan stanley,NYSE,Consumer Goods,Capital Goods
20120803,GMED,12.00,13.10,13.88,10,14.35,8333333,62503441,goldman sachs,NYSE,Healthcare,Health Care
20110401,GNC,16.00,16.60,16.69,0,16.69,22500000,87444748,goldman sachs,NYSE,Services,Consumer Non-Durables
20150625,GNRT,14.00,12.75,13.20,3,13.20,15000000,79990335,jefferies,NYSE,N/A,Transportation
20140207,GPRK,7.00,6.74,6.75,0,6.75,13500000,57361614,jp morgan,NYSE,Basic Materials,Energy
20130724,GRAM,21.13,21.35,21.80,6,21.80,19534884,655958610,credit suisse,NYSE,Services,Basic Industries
20140404,GRUB,26.00,40.00,40.81,0,40.81,7405614,78385786,morgan stanley,NYSE,Technology,Miscellaneous
20141015,GWB,18.00,18.00,18.05,9,18.07,16000000,57886114,bofa merrill lynch,NYSE,Financial,Finance
20120125,GWRE,13.00,16.75,17.42,7,17.42,8850000,48892951,citigroup,NYSE,Technology,Technology
20111214,GZT,9.00,8.75,8.85,10,9.00,9000000,163465394,citigroup,NYSE,Financial,Finance
20130418,HASI,12.50,11.60,11.89,0,11.89,13333333,15127372,bofa merrill lynch,NYSE,Financial,Consumer Services
20110310,HCA,30.00,31.20,31.50,0,31.50,126200000,515205100,bofa merrill lynch,NYSE,Healthcare,Health Care
20170413,HCC,19.00,17.50,18.19,3,18.43,16666667,53442532,credit suisse,NYSE,Financial,Energy
20120816,HCLP,17.00,17.00,17.99,10,18.14,11250000,13640351,morgan stanley,NYSE,Basic Materials,Basic Industries
20150130,HIFR,23.00,26.64,26.71,8,26.87,20000000,44014971,bofa merrill lynch,NYSE,,Consumer Services
20140328,HIVE,10.00,8.95,9.88,8,9.88,7500000,43606580,goldman sachs,NYSE,Technology,Technology
20131212,HLT,20.00,21.30,23.43,0,23.43,117640624,984615364,goldman sachs,NYSE,Services,Consumer Services
20140807,HMLP,20.00,22.00,22.24,4,22.24,9600000,13156060,morgan stanley,NYSE,Services,Consumer Services
20140523,HRTG,11.00,11.55,11.89,1,11.89,6000000,28886776,citigroup,NYSE,Financial,Finance
20141009,HUBS,25.00,32.95,32.99,0,32.99,5000000,30361826,morgan stanley,NYSE,Technology,Technology
20130418,I,18.00,17.00,17.71,7,17.84,19323672,104928391,goldman sachs,NYSE,Technology,Consumer Services
20140213,IBP,11.00,12.30,12.69,2,12.74,7450000,29483901,deutsche bank,NYSE,Industrial Goods,Basic Industries
20140808,ICD,11.00,11.00,11.16,1,11.16,10000000,22855155,morgan stanley,NYSE,Basic Materials,Energy
20140924,ICL,7.00,7.10,7.24,5,7.29,60158143,1270425548,morgan stanley,NYSE,N/A,Basic Industries
20110208,IFT,10.75,10.75,10.90,0,10.90,16666667,20266667,fbr,NYSE,Financial,Life Insurance
20100806,IL,13.00,13.00,13.05,0,13.05,11000000,49284964,credit suisse,NYSE,Technology,Security Software & Services
20140625,IMPR,15.00,17.00,17.49,1,17.49,5000000,22815867,piper jaffray,NYSE,Technology,Healthcare Information Services
20111109,IMPV,18.00,23.00,23.50,10,24.17,5000000,22101695,jp morgan,NASDAQ,Technology,Technology
20140404,IMS,20.00,22.18,22.75,0,22.75,65000000,331892403,goldman sachs,NYSE,Technology,Information Technology Services
20110209,INN,9.75,9.90,9.95,1,9.95,26000000,27278000,rbc,NYSE,Financial,Consumer Services
20111116,INVN,7.50,8.30,8.54,10,8.75,10000000,79322687,goldman sachs,NYSE,Technology,Semiconductor - Integrated Circuits
20110128,INXN,13.00,14.50,15.49,0,15.49,20375252,64894627,bofa merrill lynch,NYSE,Technology,Technology
20101111,IPHI,12.00,15.00,15.85,7,15.85,6800000,24048849,jefferies,NYSE,Technology,Technology
20150327,JCAP,20.00,20.05,20.45,3,20.45,5000000,5260000,raymond james,NYSE,Financial,Consumer Services
20131108,JGW,14.00,13.37,13.40,7,13.40,9750000,9757858,credit suisse,NYSE,Financial,Credit Services
20140516,JMEI,22.00,27.25,28.28,3,28.28,11140000,11140000,credit suisse,NYSE,Services,Consumer Services
20121003,JMI,20.00,19.75,19.80,0,19.80,7250000,7500050,credit suisse,NYSE,Financial,REIT - Diversified
20130724,JONE,15.00,14.04,14.25,4,14.25,12500000,12500000,barclays,NYSE,Basic Materials,Energy
20150716,JP,10.00,10.41,11.10,8,11.55,5300000,5300000,credit suisse,NYSE,N/A,Consumer Services
20141002,JPEP,20.00,20.50,20.71,1,20.71,13750000,18213502,bofa merrill lynch,NYSE,Basic Materials,Oil & Gas Pipelines
20140326,KING,22.50,20.50,22.50,2,22.50,22200000,314932321,credit suisse,NYSE,Services,Gaming Activities
20110211,KMI,30.00,31.70,32.00,5,32.14,95466600,95466600,goldman sachs,NYSE,Basic Materials,Public Utilities
20130410,KNOP,21.00,23.00,23.00,0,23.00,7450000,8567500,bofa merrill lynch,NYSE,Services,Consumer Services
20111215,KORS,20.00,25.00,25.23,0,25.23,47200000,190792868,goldman sachs,NYSE,Consumer Goods,Consumer Non-Durables
20110511,KOS,18.00,19.50,19.70,0,19.70,33000000,374176471,credit suisse,NYSE,Basic Materials,Energy
20140206,LADR,17.00,16.50,16.70,4,16.70,13250000,48614104,bofa merrill lynch,NYSE,Financial,Consumer Services
20141211,LC,15.00,24.75,25.44,2,25.44,57700000,361111537,goldman sachs,NYSE,N/A,Miscellaneous
20131016,LEAF,17.00,19.10,19.27,0,19.27,21045148,111631667,credit suisse,NYSE,Financial,Credit Services
20140417,LEJU,10.00,10.80,10.95,0,10.95,10000000,10000000,credit suisse,NYSE,Financial,Finance
20130606,LITB,9.50,11.16,12.50,9,12.50,8300000,8300000,credit suisse,NYSE,Services,Consumer Services
20110519,LNKD,45.00,83.00,92.99,3,92.99,7840000,7840000,morgan stanley,NYSE,Technology,Internet Information Providers
20121003,LOCK,9.00,8.38,8.83,6,8.83,15700000,86308363,goldman sachs,NYSE,Technology,Application Software
