symbol,date,underwriter
FN,20100625,deutsche bank
FSB,20150326,bofa merrill lynch
FSL,20110526,citigroup
FSL,20110526,deutsche bank
FTAI,20150515,bofa merrill lynch
FTAI,20150515,barclays
FTAI,20150515,citigroup
FTAI,20150515,deutsche bank
FXCM,20101202,credit suisse
FXCM,20101202,citigroup
FXCM,20101202,jp morgan
GCAP,20101215,morgan stanley
GCAP,20101215,deutsche bank
GDDY,20150401,morgan stanley
GDDY,20150401,citigroup
GDDY,20150401,jp morgan
GDOT,20100722,morgan stanley
GDOT,20100722,jp morgan
GI,20150605,bofa merrill lynch
GI,20150605,jp morgan
GIMO,20130612,credit suisse
GIMO,20130612,goldman sachs
GIMO,20130612,bofa merrill lynch
GKOS,20150625,goldman sachs
GKOS,20150625,bofa merrill lynch
GKOS,20150625,jp morgan
GLOB,20140718,credit suisse
GLOB,20140718,citigroup
GLOB,20140718,jp morgan
GLOG,20120330,goldman sachs
GLOG,20120330,citigroup
GLOP,20140507,credit suisse
GLOP,20140507,citigroup
GLOP,20140507,wells fargo
GM,20101118,morgan stanley
GM,20101118,bofa merrill lynch
GM,20101118,citigroup
GM,20101118,jp morgan
GMED,20120803,goldman sachs
GMED,20120803,piper jaffray
GMED,20120803,bofa merrill lynch
GNC,20110401,goldman sachs
GNC,20110401,jp morgan
GNRC,20100211,goldman sachs
GNRC,20100211,jp morgan
GNRT,20150625,jefferies
GNRT,20150625,citigroup
GNRT,20150625,ubs
GNRT,20150625,evercore
GPRK,20140207,jp morgan
GPRK,20140207,itau
GPRK,20140207,banco btg pactual sa cayman branch
GPRK,20140207,banco btg pactual
GRAM,20130724,credit suisse
GRAM,20130724,morgan stanley
GRAM,20130724,jp morgan
GRAM,20130724,banco btg pactual sa cayman branch
GRUB,20140404,morgan stanley
GRUB,20140404,citigroup
GWB,20141015,bofa merrill lynch
GWB,20141015,deutsche bank
GWRE,20120125,citigroup
GWRE,20120125,jp morgan
GWRE,20120125,deutsche bank
GZT,20111214,citigroup
GZT,20111214,deutsche bank
HASI,20130418,bofa merrill lynch
HASI,20130418,ubs
HASI,20130418,wells fargo
HCA,20110310,bofa merrill lynch
HCA,20110310,citigroup
HCA,20110310,jp morgan
HCC,20170413,credit suisse
HCC,20170413,morgan stanley
HCC,20170413,citigroup
HCLP,20120816,morgan stanley
HCLP,20120816,barclays
HIFR,20150130,bofa merrill lynch
HIFR,20150130,citigroup
HIVE,20140328,goldman sachs
HIVE,20140328,bofa merrill lynch
HLT,20131212,goldman sachs
HLT,20131212,morgan stanley
HLT,20131212,bofa merrill lynch
HLT,20131212,deutsche bank
HMLP,20140807,morgan stanley
HMLP,20140807,bofa merrill lynch
HMLP,20140807,citigroup
HPP,20100624,morgan stanley
HPP,20100624,bofa merrill lynch
HPP,20100624,barclays
HRTG,20140523,citigroup
HRTG,20140523,sandler o'neill
HUBS,20141009,morgan stanley
HUBS,20141009,jp morgan
HUBS,20141009,ubs
I,20130418,goldman sachs
I,20130418,morgan stanley
I,20130418,bofa merrill lynch
I,20130418,jp morgan
IBP,20140213,deutsche bank
IBP,20140213,ubs
ICD,20140808,morgan stanley
ICD,20140808,rbc
ICD,20140808,barclays
ICD,20140808,tudor pickering holt
ICL,20140924,morgan stanley
ICL,20140924,barclays
IFT,20110208,fbr
IL,20100806,credit suisse
IL,20100806,morgan stanley
IL,20100806,deutsche bank
IMPR,20140625,piper jaffray
IMPR,20140625,jp morgan
IMPV,20111109,jp morgan
IMPV,20111109,deutsche bank
IMS,20140404,goldman sachs
IMS,20140404,morgan stanley
IMS,20140404,jp morgan
INN,20110209,rbc
INN,20110209,deutsche bank
INN,20110209,robert w baird
INVN,20111116,goldman sachs
INVN,20111116,morgan stanley
INXN,20110128,bofa merrill lynch
INXN,20110128,barclays
INXN,20110128,citigroup
IPHI,20101111,jefferies
IPHI,20101111,morgan stanley
IPHI,20101111,deutsche bank
JCAP,20150327,raymond james
JCAP,20150327,robert w baird
JCAP,20150327,wunderlich
JGW,20131108,credit suisse
JGW,20131108,barclays
JKS,20100514,credit suisse
JMEI,20140516,credit suisse
JMEI,20140516,jp morgan
JMEI,20140516,goldman sachs (asia)
JMI,20121003,credit suisse
JMI,20121003,barclays
JMI,20121003,citigroup
JMI,20121003,deutsche bank
JONE,20130724,barclays
JONE,20130724,jp morgan
JONE,20130724,wells fargo
JP,20150716,credit suisse
JP,20150716,china renaissance securities (hong kong)
JPEP,20141002,bofa merrill lynch
JPEP,20141002,barclays
JPEP,20141002,deutsche bank
KING,20140326,credit suisse
KING,20140326,bofa merrill lynch
KING,20140326,jp morgan
KMI,20110211,goldman sachs
KMI,20110211,barclays
