symbol,y,x1,x2,x3,x4,underwriter,exchange,t10,p30,t30,p1h,t1h,p1d,t1d
CALA,1.100,1.022,81760,0.447,0.079,18-56,1,3,1.100,3,1.100,3,1.100,3
CAPN,1.012,0.785,8415,0.255,0.015,13,1,0,1.012,0,1.012,0,1.012,0
CARA,1.049,1.056,58099,0.229,0.026,4-26,1,10,1.166,28,1.218,45,1.218,45
CARB,1.241,1.080,67500,0.260,0.022,8-19,1,1,1.241,1,1.241,1,1.241,1
CATB,1.020,1.062,63700,0.344,0.056,18-41,1,1,1.020,1,1.032,38,1.059,252
CBF,1.005,1.006,181000,0.307,0.077,1-2-8,1,0,1.026,24,1.026,24,1.026,24
CBYL,1.012,1.300,84500,0.536,0.015,56,1,0,1.012,0,1.012,0,1.012,0
CCCR,1.207,0.923,8220,0.132,0.024,58-90,1,2,1.233,23,1.233,23,1.233,23
CCIH,1.111,1.942,163646,0.016,0.149,8-21,1,0,1.137,15,1.137,15,1.137,15
CCXI,1.173,1.049,47205,0.128,0.023,18-19,1,10,1.217,11,1.217,11,1.217,11
CDNA,1.052,0.950,38000,0.346,0.063,4-56,1,5,1.052,5,1.052,5,1.052,5
CDRB,0.757,3.170,31700,0.147,0.000,90,1,-328,0.757,-328,0.789,-268,1.041,-44
CDTX,1.187,1.007,77328,0.356,0.108,3-56,1,6,1.187,6,1.187,6,1.187,6
CDW,1.057,1.038,410130,0.138,0.057,2-17-19,1,9,1.058,15,1.063,59,1.063,59
CEMP,1.061,1.033,52080,0.425,0.006,26-41-56,1,10,1.061,10,1.061,10,1.061,10
CERE,1.041,1.138,74000,0.213,0.040,2-17,1,2,1.041,2,1.041,2,1.041,2
CERU,1.079,1.014,60350,0.447,0.011,56,1,3,1.079,3,1.079,3,1.079,3
CFMS,1.134,1.200,162000,0.230,0.142,19-21,1,9,1.134,9,1.134,9,1.134,9
CG,1.020,1.000,671000,1.000,0.082,1-18-19,1,3,1.020,3,1.020,3,1.020,3
CGIX,1.003,1.000,6000,0.143,0.002,6-39-69-94,1,7,1.003,7,1.003,7,1.700,120
CHEF,1.016,1.133,153000,0.435,0.172,3-31-37,1,0,1.016,0,1.026,38,1.088,205
CHMA,1.063,1.281,130482,0.277,0.127,17-41,1,10,1.102,27,1.102,27,1.102,27
CHRS,1.012,0.944,80277,0.196,0.130,1-19,1,0,1.013,30,1.021,35,1.034,256
CHUY,1.000,1.154,87499,0.388,0.123,3-39,1,0,1.000,0,1.013,42,1.035,277
CLCD,1.012,0.850,46750,0.363,0.091,4-26,1,0,1.012,0,1.012,0,1.012,0
CLDN,1.025,1.238,54450,0.311,0.019,17-19,1,0,1.025,0,1.025,0,1.025,0
CLIR,1.056,1.028,12330,0.368,0.015,134,1,2,1.056,2,1.056,2,1.056,2
CLLS,1.013,1.000,228250,0.157,0.180,3-4-8,1,0,1.013,0,1.013,0,1.013,0
CLVS,1.026,1.004,130500,0.462,0.032,1-19,1,2,1.026,2,1.026,2,1.026,2
CMRX,1.061,1.081,110824,0.300,0.075,7-41,1,5,1.104,24,1.106,37,1.241,299
CNAT,1.022,1.000,66000,0.385,0.102,4-26,1,0,1.022,0,1.022,0,1.022,0
CNCE,1.032,1.125,94500,0.348,0.095,32-37,1,4,1.032,4,1.032,4,1.032,4
CNOB,1.016,1.089,48800,0.337,0.038,26,1,0,1.016,0,1.016,0,1.016,0
CNV,1.033,1.090,204484,0.061,0.076,7-19,1,2,1.033,2,1.033,2,1.033,2
COLL,1.083,1.000,69600,0.294,0.063,3-4,1,2,1.083,2,1.083,2,1.083,2
COMM,1.028,1.000,576923,0.207,0.110,8-19-21,1,6,1.028,6,1.028,6,1.028,6
CONE,1.052,1.105,346500,0.850,0.177,7-8,1,2,1.052,2,1.052,2,1.052,2
COVS,1.077,1.260,80640,0.176,0.134,1-42,1,1,1.090,12,1.090,12,1.090,12
CRTO,1.071,1.355,339468,0.146,0.186,3-19-21,1,0,1.071,0,1.071,0,1.071,0
CSOD,1.081,1.385,189000,0.225,0.112,2-17,1,0,1.125,14,1.125,14,1.125,14
CSTE,1.048,0.999,73193,0.200,0.091,1-17-19,1,0,1.048,0,1.048,0,1.048,0
CTRL,1.016,1.169,74800,0.181,0.137,8-38,1,0,1.037,12,1.037,12,1.107,217
CYAD,1.001,0.990,99134,0.157,0.151,4-32,1,0,1.001,0,1.001,0,1.001,0
CYBR,1.080,1.562,22500,0.028,1.681,17-19-21,1,0,1.080,0,1.080,0,1.208,305
CZR,1.541,1.007,16410,0.014,0.161,1-18,1,9,1.541,9,1.657,45,1.976,75
DATE,1.056,1.000,78100,0.151,0.113,8-18,1,5,1.056,5,1.056,5,1.056,5
DERM,1.028,1.125,140625,0.404,0.099,18-56,1,0,1.028,0,1.028,0,1.028,0
DFRG,1.001,0.981,73950,0.244,0.095,4-21-37,1,0,1.001,0,1.001,0,1.025,322
DNAI,1.177,1.687,232308,0.281,0.090,3-8,1,4,1.177,4,1.177,4,1.177,4
DNKN,1.098,1.316,556250,0.185,0.195,7-17-19,1,6,1.098,6,1.098,6,1.185,294
DPRX,1.086,1.217,40150,0.338,0.033,12,1,1,1.086,1,1.086,1,1.086,1
DRNA,1.161,2.000,180000,0.361,0.078,3-26-56,1,9,1.161,9,1.258,45,1.533,303
DSKY,1.089,1.167,134750,1.000,0.175,1-19-26,1,0,1.089,0,1.089,0,1.089,0
DTEA,1.052,1.316,127551,0.220,0.227,2-19,1,1,1.052,1,1.082,44,1.099,259
EAC,1.031,1.000,38400,0.500,0.029,12-26-80,1,2,1.031,2,1.031,2,1.031,2
EARS,1.024,1.017,57340,0.333,0.031,3-56,1,0,1.024,0,1.024,0,1.024,0
EBIO,1.075,1.035,51750,0.325,0.039,18-41-56,1,10,1.097,26,1.097,26,1.140,132
ECYT,1.069,1.067,80000,0.451,0.006,10-56,1,0,1.069,0,1.069,0,1.303,179
EGLT,1.013,1.042,52500,0.287,0.038,26-33,1,0,1.013,0,1.013,0,1.013,0
EGRX,1.061,1.033,51925,0.241,0.124,4-6,1,3,1.061,3,1.061,3,1.061,3
EIGI,1.045,0.917,231561,0.167,0.086,1-2-7,1,10,1.058,13,1.058,13,1.058,13
ENPH,1.035,1.250,67272,0.228,0.050,7-8-21,1,9,1.035,9,1.035,9,1.099,148
ENVI,1.057,1.039,72509,0.291,0.092,2-4-21-26,1,2,1.057,2,1.057,2,1.057,2
EPZM,1.040,1.333,102840,0.186,0.088,18-41-56,1,6,1.075,19,1.075,19,1.181,333
ESPR,1.009,1.086,76000,0.355,0.000,1-18,1,5,1.118,23,1.118,23,1.118,23
ETSY,1.126,1.938,516666,0.150,0.074,2-7,1,10,1.153,27,1.153,27,1.153,27
EVAR,1.031,1.000,55000,0.309,0.051,3-17,1,0,1.031,0,1.031,0,1.031,0
EVOK,1.027,0.929,23415,0.363,0.053,69,1,0,1.031,29,1.031,29,1.056,294
EXA,1.013,1.000,62500,0.474,0.064,26,1,0,1.013,0,1.013,0,1.013,0
EYES,1.321,1.889,59500,0.101,0.011,134,1,7,1.321,7,1.321,7,1.321,7
FANG,1.026,1.018,222750,0.356,0.059,1,1,8,1.026,8,1.026,8,1.026,8
FATE,1.104,1.093,43733,0.348,0.017,31-41,1,0,1.104,0,1.104,0,1.104,0
FB,1.071,1.105,17691811,0.665,0.180,2-7-19,1,0,1.071,0,1.071,0,1.071,0
FBNK,1.045,1.100,189117,1.106,0.024,35,1,0,1.045,0,1.045,0,1.045,0
FEYE,1.084,2.015,611552,0.129,0.196,2-7-17-19,1,10,1.114,12,1.114,12,1.114,12
FGEN,1.020,1.278,186300,0.143,0.160,2-18-56,1,1,1.020,1,1.020,1,1.020,1
FIVE,1.023,1.532,250480,0.178,0.189,2-3-17,1,9,1.038,29,1.077,51,1.130,161
FIVN,1.176,1.136,79500,0.217,0.037,8-17-19,1,6,1.176,6,1.176,6,1.176,6
FLDM,1.052,1.000,75037,0.293,0.051,4-21,1,7,1.052,7,1.052,7,1.073,276
FLKS,1.026,1.188,102600,0.303,0.102,3-4,1,0,1.026,0,1.026,0,1.026,0
FLXN,1.008,1.231,80000,0.339,0.045,31-37,1,0,1.008,0,1.008,0,1.008,0
FMI,1.056,1.750,185499,0.217,0.254,2-19,1,5,1.056,5,1.056,5,1.144,214
FOGO,1.021,1.300,114705,0.162,0.338,3-19,1,0,1.021,0,1.021,0,1.021,0
FOMX,1.375,1.333,53600,0.312,0.100,17-41,1,6,1.375,6,1.375,6,1.375,6
FOXF,1.038,1.200,154285,0.236,0.105,4-6-39,1,0,1.044,25,1.082,45,1.082,45
FPRX,1.000,1.231,76800,0.300,0.094,3-31-37,1,0,1.000,0,1.000,0,1.000,0
FRAN,1.043,1.353,230000,0.230,0.221,2-3-19,1,10,1.065,27,1.065,40,1.254,293
FRPT,1.025,1.317,205729,0.328,0.206,1-2,1,1,1.025,1,1.035,40,1.035,40
FRSH,1.000,1.100,70583,0.344,0.120,3-37-39,1,0,1.000,0,1.000,0,1.000,0
FUEL,1.043,2.067,239800,0.123,0.166,1-18,1,0,1.043,0,1.043,0,1.043,0
FWM,1.023,1.385,245700,0.529,0.198,1-3-6-8,1,0,1.023,0,1.023,0,1.023,0
FWP,1.001,0.904,199394,0.229,0.079,3-10-56,1,0,1.001,0,1.001,0,1.001,0
GDEF,1.004,1.000,60000,0.715,0.059,41,1,0,1.004,0,1.004,0,1.004,0
GEVO,1.095,1.035,110968,0.290,0.058,4-18-32,1,4,1.128,13,1.128,13,1.130,274
GLBL,1.021,0.933,630000,0.383,0.122,7-17-18-19,1,10,1.031,15,1.031,15,1.031,15
GLMD,1.102,1.259,48235,0.266,0.041,13,1,0,1.102,0,1.102,0,1.102,0
GLPG,1.003,1.101,303265,0.199,0.054,1-7-41,1,5,1.051,27,1.089,50,1.123,266
GLYC,1.021,1.300,72800,0.429,0.044,3-17,1,0,1.021,0,1.021,0,1.021,0
GMAN,1.228,1.000,58928,0.286,0.058,4-37,1,0,1.228,0,1.228,0,1.228,0
GMLP,1.027,1.067,288000,0.519,0.221,7-8-18,1,7,1.033,18,1.033,18,1.062,188
GNBC,1.032,1.091,76734,0.184,0.049,3-34,1,10,1.060,16,1.060,16,1.063,76
GNCA,1.004,0.975,64349,0.319,0.138,18-41,1,0,1.004,0,1.004,0,1.004,0
GOGO,1.045,0.941,176000,0.130,0.138,7-19-32,1,4,1.045,4,1.045,4,1.045,4
GOMO,1.099,1.258,98770,1.000,0.185,1-19,1,10,1.144,20,1.144,20,1.144,20
GPIAU,1.000,1.005,150750,0.800,0.042,18,1,0,1.000,0,1.000,0,1.000,0
